assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_002355975.1	PRJNA224116	SAMD00025316	na	reference genome	69	69	Lysobacter enzymogenes	strain=M497-1	na	latest	Complete Genome	Major	Full	2016-11-25	ASM235597v1	Japan Agency for Marine-Earth Science and Technology	GCA_002355975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1	na	na	na        	haploid	bacteria	6096022	6096022	69.5	1	1	1	NCBI RefSeq	GCF_002355975.1-RS_2024_05_05	2024-05-05	4917	4806	66	28065880
GCF_013626205.1	PRJNA224116	SAMN09259304	QHJE00000000.1	reference genome	84	84	Hyphomicrobium methylovorum	strain=Bras1	na	latest	Contig	Major	Full	2020-07-24	ASM1362620v1	University of Warwick	GCA_013626205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/626/205/GCF_013626205.1_ASM1362620v1	na	na	na        	haploid	bacteria	3445405	3445405	59.0	0	4	4	NCBI RefSeq	GCF_013626205.1-RS_2024_05_05	2024-05-05	3282	3209	54	na
GCF_030705305.1	PRJNA224116	SAMN36830734	JAUZEE000000000.1	reference genome	89	89	Leptothrix discophora	strain=CCM 2812	na	latest	Scaffold	Major	Full	2023-08-09	ASM3070530v1	Universidad de la Republica	GCA_030705305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/705/305/GCF_030705305.1_ASM3070530v1	na	na	na        	haploid	bacteria	4646228	4646033	70.0	0	31	31	NCBI RefSeq	GCF_030705305.1-RS_2024_08_09	2024-08-09	4104	4017	52	na
GCF_006738645.1	PRJNA224116	SAMD00165212	na	reference genome	94	94	Stella humosa	strain=ATCC 43930	na	latest	Complete Genome	Major	Full	2019-06-03	ASM673864v1	Riken, BDR	GCA_006738645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/738/645/GCF_006738645.1_ASM673864v1	na	assembly from type material	na        	haploid	bacteria	5832650	5832650	70.0	1	1	1	NCBI RefSeq	GCF_006738645.1-RS_2024_03_29	2024-03-29	5537	5446	59	na
GCF_004339465.1	PRJNA224116	SAMN10866377	SMFY00000000.1	reference genome	100	100	Ancylobacter aquaticus	strain=DSM 101	na	latest	Contig	Major	Full	2019-03-11	ASM433946v1	DOE Joint Genome Institute	GCA_004339465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/339/465/GCF_004339465.1_ASM433946v1	na	assembly from type material	na        	haploid	bacteria	4831989	4831989	67.0	0	11	11	NCBI RefSeq	GCF_004339465.1-RS_2024_05_01	2024-05-01	4513	4381	53	na
GCF_002954665.1	PRJNA224116	SAMN06133459	MSCM00000000.1	reference genome	102	102	Polaribacter glomeratus	strain=ATCC 43844	na	latest	Scaffold	Major	Full	2018-02-27	ASM295466v1	Atmosphere and Ocean Research Institute, The University of Tokyo	GCA_002954665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/665/GCF_002954665.1_ASM295466v1	na	assembly from type material	na        	haploid	bacteria	4064562	4001588	30.5	0	4	4	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-24	3469	3407	41	na
GCF_003149495.1	PRJNA224116	SAMN08361974	na	reference genome	114	114	Gemmata obscuriglobus	strain=DSM 5831	na	latest	Complete Genome	Major	Full	2018-05-23	ASM314949v1	Creighton University	GCA_003149495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1	na	assembly from type material	na        	haploid	bacteria	8998893	8998893	67.5	1	1	1	NCBI RefSeq	GCF_003149495.1-RS_2024_03_28	2024-03-28	7428	7233	103	na
GCF_007747015.1	PRJNA224116	SAMN10954008	na	reference genome	122	122	Gimesia maris	strain=CA11	na	latest	Complete Genome	Major	Full	2019-07-31	ASM774701v1	Radboud Universiteit Nijmegen	GCA_007747015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/015/GCF_007747015.1_ASM774701v1	na	na	na        	haploid	bacteria	7626893	7626893	50.5	1	1	1	NCBI RefSeq	GCF_007747015.1-RS_2024_10_11	2024-10-11	5819	5725	69	na
GCF_020422925.2	PRJNA224116	SAMN21374108	na	reference genome	140	140	Borrelia hermsii	strain=ML2	na	latest	Complete Genome	Major	Full	2022-09-02	ASM2042292v2	University of California Irvine	GCA_020422925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/422/925/GCF_020422925.2_ASM2042292v2	na	na	na        	haploid	bacteria	1161689	1161689	30.0	3	3	3	NCBI RefSeq	GCF_020422925.2-RS_2024_03_28	2024-03-28	1096	1045	38	na
GCF_023035295.1	PRJNA224116	SAMN18441555	na	reference genome	144	144	Borrelia coriaceae	strain=Co53	na	latest	Complete Genome	Major	Full	2022-04-18	ASM2303529v1	Baylor College of Medicine	GCA_023035295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/295/GCF_023035295.1_ASM2303529v1	na	assembly from type material	na        	haploid	bacteria	1787333	1787333	29.0	24	24	24	NCBI RefSeq	GCF_023035295.1-RS_2024_05_08	2024-05-08	1763	1675	38	na
GCF_014207565.1	PRJNA224116	SAMN14908459	JACHGJ000000000.1	reference genome	150	150	Spirochaeta isovalerica	strain=DSM 2461	na	latest	Scaffold	Major	Full	2020-08-14	ASM1420756v1	DOE Joint Genome Institute	GCA_014207565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/207/565/GCF_014207565.1_ASM1420756v1	na	assembly from type material	na        	haploid	bacteria	4875193	4875001	46.0	0	34	34	NCBI RefSeq	GCF_014207565.1-RS_2024_05_05	2024-05-05	4430	4330	80	na
GCF_021021555.1	PRJNA224116	SAMN21040264	JAINWA000000000.1	reference genome	156	156	Teretinema zuelzerae	strain=DSM 1903	na	latest	Contig	Major	Full	2021-12-01	ASM2102155v1	Max Planck Institute for Terrestrial Microbiology	GCA_021021555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/021/555/GCF_021021555.1_ASM2102155v1	na	assembly from type material	na        	haploid	bacteria	3621248	3621248	52.5	0	3	3	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-02	3215	3128	65	na
GCF_017751225.1	PRJNA224116	SAMN13511716	na	reference genome	159	159	Brachyspira hyodysenteriae	strain=Bh743-7	na	latest	Complete Genome	Major	Full	2021-04-05	ASM1775122v1	University of Bern	GCA_017751225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/225/GCF_017751225.1_ASM1775122v1	na	na	na        	haploid	bacteria	3085162	3085162	27.0	2	2	2	NCBI RefSeq	GCF_017751225.1-RS_2024_03_28	2024-03-28	2703	2652	40	na
GCF_008153345.1	PRJNA224116	SAMN12512735	na	reference genome	162	162	Treponema phagedenis	strain=B43.1	na	latest	Complete Genome	Major	Full	2019-08-30	ASM815334v1	University of Bern	GCA_008153345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/153/345/GCF_008153345.1_ASM815334v1	na	assembly from type material	na        	haploid	bacteria	3372116	3372116	40.0	1	1	1	NCBI RefSeq	GCF_008153345.1-RS_2024_04_27	2024-04-27	2917	2806	55	na
GCF_036492245.1	PRJNA224116	SAMD00409814	na	reference genome	163	163	Treponema bryantii	strain=JCM 32280	na	latest	Complete Genome	Major	Full	2023-09-26	ASM3649224v1	The University of Tokyo	GCA_036492245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/492/245/GCF_036492245.1_ASM3649224v1	na	na	na        	haploid	bacteria	3516600	3516600	38.0	2	2	2	NCBI RefSeq	GCF_036492245.1-RS_2024_04_03	2024-04-03	3058	2997	56	na
GCF_900497595.1	PRJNA224116	SAMEA4789890	UFQO00000000.1	reference genome	164	164	Treponema pectinovorum	strain=Marseille-3-CSURP7641	na	latest	Contig	Major	Full	2019-08-15	PRJEB27760	URMITE	GCA_900497595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/497/595/GCF_900497595.1_PRJEB27760	na	na	na        	haploid	bacteria	2224027	2224027	37.0	0	10	10	NCBI RefSeq	GCF_900497595.1-RS_2024_05_04	2024-05-04	1929	1871	48	na
GCF_036250655.1	PRJNA224116	SAMD00409815	na	reference genome	165	165	Treponema saccharophilum	strain=JCM 32279	na	latest	Complete Genome	Major	Full	2023-09-26	ASM3625065v1	The University of Tokyo	GCA_036250655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/250/655/GCF_036250655.1_ASM3625065v1	na	na	na        	haploid	bacteria	3459320	3459320	53.0	4	4	4	NCBI RefSeq	GCF_036250655.1-RS_2024_04_02	2024-04-02	2952	2872	65	na
GCF_007827425.1	PRJNA224116	SAMN03159499	VISK00000000.1	reference genome	192	192	Azospirillum brasilense	strain=Sp 7	na	latest	Contig	Major	Full	2019-08-02	ASM782742v1	DOE Joint Genome Institute	GCA_007827425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/827/425/GCF_007827425.1_ASM782742v1	na	assembly from type material	na        	haploid	bacteria	7030811	7030811	68.5	0	21	21	NCBI RefSeq	GCF_007827425.1-RS_2024_03_29	2024-03-29	6438	6248	114	26203337
GCF_008364955.1	PRJNA224116	SAMN12661906	VTTN00000000.1	reference genome	193	193	Azospirillum lipoferum	strain=59b	na	latest	Scaffold	Major	Full	2019-09-09	ASM836495v1	Research Center of Biotechnology RAS	GCA_008364955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/364/955/GCF_008364955.1_ASM836495v1	na	assembly from type material	na        	haploid	bacteria	7987183	7986702	67.5	0	72	72	NCBI RefSeq	GCF_008364955.1-RS_2024_05_04	2024-05-04	7174	6999	74	na
GCF_009730395.1	PRJNA224116	SAMN11056450	na	reference genome	195	195	Campylobacter coli	strain=FDAARGOS_735	na	latest	Complete Genome	Major	Full	2019-12-05	ASM973039v1	US Food and Drug Administration	GCA_009730395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/395/GCF_009730395.1_ASM973039v1	na	na	na        	haploid	bacteria	1716536	1716536	31.5	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-13	1775	1688	56	na
GCF_011600945.2	PRJNA224116	SAMN13976978	na	reference genome	196	196	Campylobacter fetus	strain=CFF00A031	na	latest	Complete Genome	Major	Full	2020-07-31	ASM1160094v2	Canadian Food Inspection Agency	GCA_011600945.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/600/945/GCF_011600945.2_ASM1160094v2	na	na	na        	haploid	bacteria	1804582	1804582	33.0	2	2	2	NCBI RefSeq	GCF_011600945.2-RS_2024_03_28	2024-03-28	1835	1767	56	33628630
GCF_001298465.1	PRJNA224116	SAMN03342362	na	reference genome	199	199	Campylobacter concisus	strain=ATCC 33237	na	latest	Complete Genome	Major	Full	2015-09-24	ASM129846v1	Olivier Vandenberg 	GCA_001298465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/465/GCF_001298465.1_ASM129846v1	na	assembly from type material	na        	haploid	bacteria	1840041	1840041	37.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-03	1907	1821	59	na
GCF_013372125.1	PRJNA224116	SAMN14886871	na	reference genome	200	200	Campylobacter curvus	strain=ATCC 35224	na	latest	Complete Genome	Major	Full	2020-06-24	ASM1337212v1	USDA, ARS, WRRC	GCA_013372125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/125/GCF_013372125.1_ASM1337212v1	na	assembly from type material	na        	haploid	bacteria	1974918	1974918	44.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-24	1975	1893	60	na
GCF_013372205.1	PRJNA224116	SAMN14886971	na	reference genome	202	202	Campylobacter mucosalis	strain=ATCC 43264	na	latest	Complete Genome	Major	Full	2020-06-24	ASM1337220v1	USDA, ARS, WRRC	GCA_013372205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/205/GCF_013372205.1_ASM1337220v1	na	assembly from type material	na        	haploid	bacteria	1773478	1773478	36.5	1	1	1	NCBI RefSeq	GCF_013372205.1-RS_2024_04_27	2024-04-27	1856	1790	52	na
GCF_004803795.1	PRJNA224116	SAMN03737987	na	reference genome	203	203	Campylobacter rectus	strain=ATCC 33238	na	latest	Complete Genome	Major	Full	2019-04-23	ASM480379v1	USDA, ARS, WRRC	GCA_004803795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/795/GCF_004803795.1_ASM480379v1	na	assembly from type material	na        	haploid	bacteria	2571679	2571679	44.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-24	2502	2374	60	na
GCF_004803815.1	PRJNA224116	SAMN03737988	na	reference genome	204	204	Campylobacter showae	strain=ATCC 51146	na	latest	Complete Genome	Major	Full	2019-04-23	ASM480381v1	USDA, ARS, WRRC	GCA_004803815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/815/GCF_004803815.1_ASM480381v1	na	assembly from type material	na        	haploid	bacteria	2097887	2097887	45.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-06	2084	2008	59	na
GCF_025998455.1	PRJNA224116	SAMD00509734	na	reference genome	210	210	Helicobacter pylori	strain=CHC155	na	latest	Complete Genome	Major	Full	2022-10-20	ASM2599845v1	Oita University	GCA_025998455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/998/455/GCF_025998455.1_ASM2599845v1	na	assembly from type material	na        	haploid	bacteria	1696601	1696601	38.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-09	1625	1501	45	na
GCF_900451005.1	PRJNA224116	SAMEA104318164	UGIB00000000.1	reference genome	215	215	Helicobacter fennelliae	strain=NCTC11613	na	latest	Contig	Major	Full	2018-08-07	59123_A01	SC	GCA_900451005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/451/005/GCF_900451005.1_59123_A01	na	na	na        	haploid	bacteria	2223074	2223074	37.5	0	2	2	NCBI RefSeq	GCF_900451005.1-RS_2024_04_27	2024-04-27	2288	2198	48	na
GCF_900450885.1	PRJNA224116	SAMEA103980429	UGJE00000000.1	reference genome	216	216	Helicobacter muridarum	strain=NCTC12714	na	latest	Contig	Major	Full	2018-08-01	54984_G01	SC	GCA_900450885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/450/885/GCF_900450885.1_54984_G01	na	assembly from type material	na        	haploid	bacteria	2263336	2263336	32.5	0	2	2	NCBI RefSeq	GCF_900450885.1-RS_2024_04_27	2024-04-27	2029	1932	47	na
GCF_900476215.1	PRJNA224116	SAMEA44549668	na	reference genome	217	217	Helicobacter mustelae	strain=NCTC12198	na	latest	Complete Genome	Major	Full	2018-06-17	51342_F02	SC	GCA_900476215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/215/GCF_900476215.1_51342_F02	na	assembly from type material	na        	haploid	bacteria	1576607	1576607	42.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-24	1460	1394	47	na
GCF_945859885.1	PRJNA224116	SAMEA110386555	CAMAPB000000000.1	reference genome	228	228	Pseudoalteromonas haloplanktis	na	CIP103197	latest	Scaffold	Major	Full	2022-09-13	CIP103197	Institut Pasteur	GCA_945859885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/945/859/885/GCF_945859885.1_CIP103197	na	assembly from type material	na        	haploid	bacteria	3972527	3972407	40.0	0	228	228	NCBI RefSeq	GCF_945859885.1-RS_2024_10_11	2024-10-11	3765	3518	99	na
GCF_900475375.1	PRJNA224116	SAMEA3643315	na	reference genome	238	238	Elizabethkingia meningoseptica	strain=NCTC10016	na	latest	Complete Genome	Major	Full	2018-06-17	42685_B01	SC	GCA_900475375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/375/GCF_900475375.1_42685_B01	na	assembly from type material	na        	haploid	bacteria	3874791	3874791	36.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-10-21	3491	3411	65	na
GCF_900176575.1	PRJNA224116	SAMEA103966498	FWYH00000000.1	reference genome	244	244	Planomicrobium okeanokoites	strain=Marseille-P2029	na	latest	Contig	Major	Full	2017-04-09	PRJEB20355	URMITE	GCA_900176575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/575/GCF_900176575.1_PRJEB20355	na	na	na        	haploid	bacteria	3434210	3434210	45.5	0	10	10	NCBI RefSeq	GCF_900176575.1-RS_2024_04_27	2024-04-27	3504	3415	78	na
GCF_003815995.1	PRJNA224116	SAMN10316127	na	reference genome	246	246	Chryseobacterium balustinum	strain=KC_1863	na	latest	Complete Genome	Major	Full	2018-11-25	ASM381599v1	Bacterial Special Pathogens Branch (CDC)	GCA_003815995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/995/GCF_003815995.1_ASM381599v1	na	na	na        	haploid	bacteria	4974086	4974086	33.5	2	2	2	NCBI RefSeq	GCF_003815995.1-RS_2024_03_28	2024-03-28	4633	4456	104	na
GCF_016766875.1	PRJNA224116	SAMN16357272	na	reference genome	250	250	Chryseobacterium gleum	strain=FDAARGOS_1103	na	latest	Chromosome	Major	Full	2021-01-28	ASM1676687v1	US Food and Drug Administration	GCA_016766875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/766/875/GCF_016766875.1_ASM1676687v1	na	assembly from type material	na        	haploid	bacteria	5643321	5643221	37.0	1	1	1	NCBI RefSeq	GCF_016766875.1-RS_2024_05_21	2024-05-21	5217	5091	107	na
GCF_006540005.1	PRJNA224116	SAMD00097584	BJOC00000000.1	reference genome	252	252	Halomonas halmophila	strain=NBRC 15537	na	latest	Contig	Major	Full	2019-06-12	ASM654000v1	National Institute of Technology and Evaluation Biological Resource Center	GCA_006540005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/540/005/GCF_006540005.1_ASM654000v1	na	assembly from type material	na        	haploid	bacteria	3253825	3253825	63.5	0	90	90	NCBI RefSeq	GCF_006540005.1-RS_2024_09_09	2024-09-09	2948	2874	52	na
GCF_900460995.1	PRJNA224116	SAMEA3643317	UIGS00000000.1	reference genome	253	253	Chryseobacterium indologenes	strain=NCTC10796	na	latest	Contig	Major	Full	2018-08-08	42552_F01	SC	GCA_900460995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/995/GCF_900460995.1_42552_F01	na	assembly from type material	na        	haploid	bacteria	4929686	4929686	37.0	0	2	2	NCBI RefSeq	GCF_900460995.1-RS_2024_10_23	2024-10-23	4503	4368	111	na
GCF_003815915.1	PRJNA224116	SAMN05421682	na	reference genome	254	254	Chryseobacterium indoltheticum	strain=ATCC 27950	na	latest	Complete Genome	Major	Full	2018-11-25	ASM381591v1	Bacterial Special Pathogens Branch (CDC)	GCA_003815915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/915/GCF_003815915.1_ASM381591v1	na	assembly from type material	na        	haploid	bacteria	4253895	4253895	34.5	1	1	1	NCBI RefSeq	GCF_003815915.1-RS_2024_10_23	2024-10-23	3951	3836	92	na
GCF_016726985.1	PRJNA224116	SAMN16357300	na	reference genome	256	256	Myroides odoratus	strain=FDAARGOS_1131	na	latest	Complete Genome	Major	Full	2021-01-20	ASM1672698v1	US Food and Drug Administration	GCA_016726985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/726/985/GCF_016726985.1_ASM1672698v1	na	assembly from type material	na        	haploid	bacteria	4242475	4242475	36.0	1	1	1	NCBI RefSeq	GCF_016726985.1-RS_2024_10_23	2024-10-23	3799	3660	117	na
GCF_016725645.1	PRJNA224116	SAMN16357313	na	reference genome	258	258	Sphingobacterium spiritivorum	strain=FDAARGOS_1144	na	latest	Complete Genome	Major	Full	2021-01-20	ASM1672564v1	US Food and Drug Administration	GCA_016725645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/725/645/GCF_016725645.1_ASM1672564v1	na	assembly from type material	na        	haploid	bacteria	5138280	5138280	40.0	2	2	2	NCBI RefSeq	GCF_016725645.1-RS_2024_10_23	2024-10-23	4368	4282	73	na
GCF_901482695.1	PRJNA224116	SAMEA3643323	na	reference genome	259	259	Sphingobacterium thalpophilum	strain=NCTC11429	na	latest	Complete Genome	Major	Full	2019-05-11	45076_G02	SC	GCA_901482695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/482/695/GCF_901482695.1_45076_G02	na	assembly from type material	na        	haploid	bacteria	5962893	5962893	43.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-24	5083	4958	105	na
