assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	domain	kingdom	phylum	class	order	family	genus	suborder	subclass	clade	no rank	species group	species subgroup	species	subfamily	tribe	subspecies	serotype	forma specialis	pathogroup	strain	subgenus
GCF_000695835.1	PRJNA224116	SAMN02708703	na	reference genome	2113	2113	Mycoplasmopsis californica	strain=ST-6	na	latest	Complete Genome	Major	Full	2014-05-27	ASM69583v1	University of Missouri - Columbia	GCA_000695835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/835/GCF_000695835.1_ASM69583v1	na	assembly from type material	na        	haploid	bacteria	793841	793841	31.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	686	641	40	24994797	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_900660615.1	PRJNA224116	SAMEA4412702	na	reference genome	2116	2116	Malacoplasma iowae	strain=NCTC10185	na	latest	Complete Genome	Major	Full	2019-01-29	51670_F01-3	SC	GCA_900660615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/615/GCF_900660615.1_51670_F01-3	na	assembly from type material	na        	haploid	bacteria	1278574	1278574	24.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-16	1034	993	35	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Malacoplasma															
GCF_900660485.1	PRJNA224116	SAMEA4412700	na	reference genome	2120	2120	Mesomycoplasma neurolyticum	strain=NCTC10166	na	latest	Complete Genome	Major	Full	2019-01-29	50648_E01-3	SC	GCA_900660485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/485/GCF_900660485.1_50648_E01-3	na	assembly from type material	na        	haploid	bacteria	1040908	1040908	23.0	4	4	4	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	909	863	36	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mesomycoplasma															
GCF_900660435.1	PRJNA224116	SAMEA4384073	na	reference genome	2121	2121	Metamycoplasma orale	strain=NCTC10112	na	latest	Complete Genome	Major	Full	2019-01-29	50465_D02-3	SC	GCA_900660435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/435/GCF_900660435.1_50465_D02-3	na	assembly from type material	na        	haploid	bacteria	806218	806218	25.5	5	5	5	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	734	670	41	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_900660445.2	PRJNA224116	SAMEA4412694	na	reference genome	2124	2124	Metamycoplasma salivarium	strain=NCTC10113	na	latest	Complete Genome	Major	Full	2020-12-17	GCA_900660445	SC	GCA_900660445.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/445/GCF_900660445.2_GCA_900660445	na	assembly from type material	na        	haploid	bacteria	728347	728347	26.5	1	1	1	NCBI RefSeq	GCF_900660445.2-RS_2024_04_30	2024-04-30	653	605	39	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_002020255.1	PRJNA224116	SAMN06016253	MPQG00000000.1	reference genome	2340	2340	Solemya velum gill symbiont	na	RI-PJ48	latest	Contig	Major	Full	2017-03-06	ASM202025v1	Harvard University	GCA_002020255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/020/255/GCF_002020255.1_ASM202025v1	na	na	na        	haploid	bacteria	2629178	2629178	51.0	0	45	45	NCBI RefSeq	GCF_002020255.1-RS_2024_08_18	2024-08-18	2594	2518	48	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria						sulfur-oxidizing symbionts	Gammaproteobacteria incertae sedis											
GCF_918320885.1	PRJNA224116	SAMEA10450938	na	reference genome	2355	2355	unidentified bacterial endosymbiont	na	unidentified_bacterial_endosymbiont_Chironomus_riparius	latest	Complete Genome	Major	Full	2022-06-24	Harlequin_endosymbiont1	ROTHAMSTED RESEARCH	GCA_918320885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/918/320/885/GCF_918320885.1_Harlequin_endosymbiont1	na	na	na        	haploid	bacteria	1661850	1661850	49.5	1	1	1	NCBI RefSeq	GCF_918320885.1-RS_2024_07_15	2024-07-15	1668	1532	56	na	Bacteria										unclassified Bacteria											
GCF_003711265.1	PRJNA224116	SAMN07956337	na	reference genome	2360	2360	Bathymodiolus thermophilus thioautotrophic gill symbiont	strain=EPR9N	na	latest	Complete Genome	Major	Full	2018-11-05	ASM371126v1	Ewha Womans University	GCA_003711265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/265/GCF_003711265.1_ASM371126v1	na	na	na        	haploid	bacteria	2832685	2832685	38.5	1	1	1	NCBI RefSeq	GCF_003711265.1-RS_2024_03_31	2024-03-31	2221	2143	44	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria						sulfur-oxidizing symbionts	Gammaproteobacteria incertae sedis											
GCF_026914285.1	PRJNA224116	SAMN31840465	na	reference genome	29324	29324	Caldicellulosiruptor naganoensis	strain=DSM 8991	na	latest	Complete Genome	Major	Full	2022-12-15	ASM2691428v1	North Carolina State University	GCA_026914285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/914/285/GCF_026914285.1_ASM2691428v1	na	assembly from type material	na        	haploid	bacteria	2494610	2494610	35.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	2482	2297	59	na	Bacteria	Bacillati	Bacillota		Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor				Bacillota incertae sedis											
GCF_900660515.1	PRJNA224116	SAMEA4412696	na	reference genome	29553	29553	Mycoplasmopsis bovirhinis	strain=NCTC10118	na	latest	Complete Genome	Major	Full	2019-01-29	50766_E01-3	SC	GCA_900660515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/515/GCF_900660515.1_50766_E01-3	na	assembly from type material	na        	haploid	bacteria	922012	922012	27.5	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	790	745	42	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_000828855.1	PRJNA224116	SAMD00019276	na	reference genome	29554	29554	Metamycoplasma canadense	strain=HAZ360_1	Mycoplasma canadense #HAZ360_1	latest	Complete Genome	Major	Full	2014-08-27	ASM82885v1	National Institute of Animal Health, National Agriculture and Food Research Organization	GCA_000828855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/855/GCF_000828855.1_ASM82885v1	na	na	na        	haploid	bacteria	693241	693241	24.5	1	1	1	NCBI RefSeq	GCF_000828855.1-RS_2024_04_30	2024-04-30	587	543	41	25278531	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_900660495.1	PRJNA224116	SAMEA4412701	na	reference genome	29556	29556	Mycoplasmopsis gallinacea	strain=NCTC10183	na	latest	Complete Genome	Major	Full	2019-01-29	50648_F01-3	SC	GCA_900660495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/495/GCF_900660495.1_50648_F01-3	na	assembly from type material	na        	haploid	bacteria	1074838	1074838	28.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	837	777	42	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_024297005.1	PRJNA224116	SAMN29626321	na	reference genome	29559	29559	Metamycoplasma hyosynoviae	strain=B1	na	latest	Complete Genome	Major	Full	2022-07-17	ASM2429700v1	Institute of Microbiology	GCA_024297005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/297/005/GCF_024297005.1_ASM2429700v1	na	na	na        	haploid	bacteria	889181	889181	27.0	1	1	1	NCBI RefSeq	GCF_024297005.1-RS_2024_07_25	2024-07-25	738	688	40	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_900660695.1	PRJNA224116	SAMEA104210790	na	reference genome	29561	29561	Mycoplasmopsis meleagridis	strain=NCTC10153	na	latest	Complete Genome	Major	Full	2019-01-29	57612_E01-3	SC	GCA_900660695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/695/GCF_900660695.1_57612_E01-3	na	assembly from type material	na        	haploid	bacteria	644173	644173	26.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	562	519	42	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_002272945.1	PRJNA224116	SAMN07498192	NQMN00000000.1	reference genome	33922	33922	Mycoplasmopsis agassizii	strain=PS6	na	latest	Scaffold	Major	Full	2017-08-28	ASM227294v1	University of Nevada, Reno	GCA_002272945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/272/945/GCF_002272945.1_ASM227294v1	na	assembly from type material	na        	haploid	bacteria	1274972	1274468	28.5	0	8	8	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	1035	996	35	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_034647275.2	PRJNA224116	SAMN37528871	na	reference genome	33923	33923	Mycoplasmopsis felis	strain=99751	na	latest	Chromosome	Major	Full	2024-03-13	ASM3464727v2	University of Guelph	GCA_034647275.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/647/275/GCF_034647275.2_ASM3464727v2	na	na	na        	haploid	bacteria	958349	957462	24.5	1	1	1	NCBI RefSeq	GCF_034647275.2-RS_2024_03_21	2024-03-21	827	786	39	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_036352135.1	PRJNA224116	SAMN39641581	na	reference genome	35769	35769	Metamycoplasma gateae	strain=3700	na	latest	Complete Genome	Major	Full	2024-02-04	ASM3635213v1	Institute of Microbiology	GCA_036352135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/352/135/GCF_036352135.1_ASM3635213v1	na	na	na        	haploid	bacteria	689432	689432	26.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-05	625	581	41	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_018604565.1	PRJNA224116	SAMN19315242	na	reference genome	41170	41170	Exiguobacterium acetylicum	strain=SI17	na	latest	Complete Genome	Major	Full	2021-06-01	ASM1860456v1	Institute of Fruit Tree Research	GCA_018604565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/565/GCF_018604565.1_ASM1860456v1	na	na	na        	haploid	bacteria	3396606	3396606	47.0	5	5	5	NCBI RefSeq	GCF_018604565.1-RS_2024_04_27	2024-04-27	3553	3428	101	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis											
GCF_000941095.1	PRJNA224116	SAMN03153602	na	reference genome	42094	42094	Ureaplasma diversum	strain=ATCC 49782	na	latest	Chromosome	Major	Full	2015-03-04	ASM94109v1	ureaplasma diversum USP-UFBA-Purdue University	GCA_000941095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/941/095/GCF_000941095.1_ASM94109v1	na	na	na        	haploid	bacteria	973501	973100	28.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	778	742	31	25883297	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Ureaplasma															
GCF_000026765.1	PRJNA224116	SAMEA2272202	na	reference genome	45361	45361	Mesomycoplasma conjunctivae	strain=HRC/581T (NCTC10147)	na	latest	Chromosome	Major	Full	2009-06-16	ASM2676v1	Swiss Institute of Bioinformatics	GCA_000026765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/765/GCF_000026765.1_ASM2676v1	na	assembly from type material	na        	haploid	bacteria	846214	844775	28.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	702	666	34	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mesomycoplasma															
GCF_900476125.1	PRJNA224116	SAMEA4434528	na	reference genome	45363	45363	Metamycoplasma alkalescens	strain=NCTC10135	na	latest	Complete Genome	Major	Full	2018-08-19	50861_F01	SC	GCA_900476125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/125/GCF_900476125.1_50861_F01	na	assembly from type material	na        	haploid	bacteria	821059	821059	25.5	1	1	1	NCBI RefSeq	GCF_900476125.1-RS_2024_03_28	2024-03-28	698	653	42	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_003096635.1	PRJNA224116	SAMN08769564	QEKV00000000.1	reference genome	46507	46507	Ezakiella coagulans	strain=DSM 20705	na	latest	Scaffold	Major	Full	2018-05-07	ASM309663v1	DOE Joint Genome Institute	GCA_003096635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/635/GCF_003096635.1_ASM309663v1	na	assembly from type material	na        	haploid	bacteria	1806048	1805722	35.5	0	20	20	NCBI RefSeq	GCF_003096635.1-RS_2024_05_03	2024-05-03	1696	1609	57	na	Bacteria	Bacillati	Bacillota	Tissierellia			Ezakiella				Tissierellia incertae sedis											
GCF_006334135.1	PRJNA224116	SAMN08428818	PSYL00000000.1	reference genome	48003	48003	Mycoplasmopsis pullorum	strain=UBP17-163-51Cl1	na	latest	Scaffold	Major	Full	2019-06-12	ASM633413v1	Anses	GCA_006334135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/334/135/GCF_006334135.1_ASM633413v1	na	na	na        	haploid	bacteria	953874	953288	29.0	0	63	63	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	780	733	37	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_900108595.1	PRJNA224116	SAMN05216581	na	reference genome	50340	50340	Pseudomonas fuscovaginae	strain=LMG 2158	na	latest	Chromosome	Major	Full	2016-10-27	IMG-taxon 2667527230 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900108595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/595/GCF_900108595.1_IMG-taxon_2667527230_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	6592354	6592254	61.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	5867	5703	91	na																						
GCF_003253435.1	PRJNA224116	SAMN05421816	QKUB00000000.1	reference genome	51363	51363	Metamycoplasma auris	strain=ATCC 51348	na	latest	Scaffold	Major	Full	2018-06-19	ASM325343v1	DOE Joint Genome Institute	GCA_003253435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/435/GCF_003253435.1_ASM325343v1	na	assembly from type material	na        	haploid	bacteria	750874	750107	27.0	0	39	39	NCBI RefSeq	GCF_003253435.1-RS_2024_08_07	2024-08-07	689	633	40	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma															
GCF_900476105.1	PRJNA224116	SAMEA4434527	na	reference genome	53558	53558	Mycoplasmopsis edwardii	strain=NCTC10132	na	latest	Complete Genome	Major	Full	2018-08-19	51334_B01	SC	GCA_900476105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/105/GCF_900476105.1_51334_B01	na	assembly from type material	na        	haploid	bacteria	832213	832213	28.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	704	659	40	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_003217575.1	PRJNA224116	SAMN09074800	QJTC00000000.1	reference genome	54067	54067	Xylophilus ampelinus	strain=CECT 7646	na	latest	Scaffold	Major	Full	2018-06-12	ASM321757v1	DOE Joint Genome Institute	GCA_003217575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/217/575/GCF_003217575.1_ASM321757v1	na	assembly from type material	na        	haploid	bacteria	3731505	3730915	68.0	0	66	66	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-17	3465	3278	45	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Xylophilus				Burkholderiales genera incertae sedis											
GCF_001443665.1	PRJNA224116	SAMN03657162	LDXT00000000.1	reference genome	54398	54398	endosymbiont of Ridgeia piscesae	na	ind11	latest	Scaffold	Major	Full	2015-11-13	ASM144366v1	University of Victoria	GCA_001443665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/443/665/GCF_001443665.1_ASM144366v1	na	na	na        	haploid	bacteria	3442017	3440917	59.0	0	86	97	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-16	3193	3072	54	27316954	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria						sulfur-oxidizing symbionts	Gammaproteobacteria incertae sedis											
GCF_024498215.1	PRJNA224116	SAMN29927627	na	reference genome	55603	55603	Mycoplasmopsis caviae	strain=G122	na	latest	Complete Genome	Major	Full	2022-08-01	ASM2449821v1	Institute of Microbiology	GCA_024498215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/215/GCF_024498215.1_ASM2449821v1	na	assembly from type material	na        	haploid	bacteria	1155014	1155014	28.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	1126	1071	45	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis															
GCF_039524575.1	PRJNA224116	SAMD00645044	BAAAGS000000000.1	reference genome	59917	59917	Saccharopolyspora spinosporotrichia	strain=JCM 10303	na	latest	Scaffold	Major	Full	2024-02-23	ASM3952457v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039524575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/524/575/GCF_039524575.1_ASM3952457v1	na	assembly from type material	na        	haploid	bacteria	8141319	8141005	71.0	0	228	228	NCBI RefSeq	GCF_039524575.1-RS_2024_05_16	2024-05-16	7340	7111	59	30832757																						
GCF_001447195.1	PRJNA224116	SAMN03733419	LFRI00000000.1	reference genome	70584	70584	Aquabacterium parvum	strain=B6	na	latest	Contig	Major	Full	2015-11-20	ASM144719v1	Harbin Institute of Technology	GCA_001447195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/195/GCF_001447195.1_ASM144719v1	na	assembly from type material	na        	haploid	bacteria	4592999	4592999	65.5	0	619	619	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-10	4271	4050	69	26823591	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Aquabacterium				Burkholderiales genera incertae sedis											
