Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination	superkingdom	kingdom	phylum	class	order	family	genus	species	domain
GCF_006094375.1	ASM609437v1	Staphylococcus epidermidis	1282	OK		GCF_006094375.1-RS_2024_04_23	2491058	3.0	Complete Genome	2019-06-06		2466502	2466502.0	3.0	Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA515334	SAMN10738425	2368	2231	53.0	assembly from type material	Staphylococcus epidermidis	99.68		Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus		
GCF_006094495.1	ASM609449v1	Priestia megaterium NBRC 15308 = ATCC 14581	1348623	OK		GCF_006094495.1-RS_2024_05_17	5746548	7.0	Complete Genome	2019-06-06		5343009	5343009.0	7.0	Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA514939	SAMN10738403	6003	5754	78.0	assembly from type material	Bacillus megaterium	96.93	4.48	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium	
GCF_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217	565042	OK		GCF_000196555.1-RS_2024_12_11	2385164	1.0	Complete Genome	2011-01-28		2385164	2385164.0	1.0		University of Tokyo, Graduate School of Frontier Sciences	PRJDA32047	SAMD00060951	2033	1903	37.0	assembly from type material	Bifidobacterium longum	98.91	0.16	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	
GCF_034478925.1	ASM3447892v1	Bacillus licheniformis	1402	OK		GCF_034478925.1-RS_2025_03_02	4227253	1.0	Complete Genome	2023-12-19		4227253	4227253.0	1.0	Oxford Nanopore MinION; Illumina MiniSeq	Cultivarium	PRJNA1037563	SAMN38186259	4384	4174	100.0	assembly from type material	Bacillus licheniformis	98.5	0.83	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus		
GCF_019048645.1	ASM1904864v1	Streptococcus mutans	1309	OK		GCF_019048645.1-RS_2024_07_20	2019345	1.0	Complete Genome	2021-06-28		2019345	2019345.0	1.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357600	2009	1865	60.0	assembly from type material	Streptococcus mutans	99.65	0.41	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae	1463165	OK		GCF_020099175.1-RS_2024_12_09	5498848	3.0	Complete Genome	2021-09-23		5343479	5343479.0	3.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN21218859	5291	5069	99.0	assembly from type material	Klebsiella	99.12	0.82	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella		
GCF_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola	2590157	OK		GCF_020525545.1-RS_2024_12_09	5521194	1.0	Complete Genome	2021-10-19		5521194	5521194.0	1.0	Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Monash University	PRJNA768294	SAMN22024815	5337	5117	95.0	assembly from type material	Klebsiella	99.32	0.4	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola	
GCF_022869645.1	ASM2286964v1	Neisseria meningitidis	487	OK		GCF_022869645.1-RS_2024_04_26	2181327	1.0	Complete Genome	2022-04-11		2181327	2181327.0	1.0	Illumina; PacBio	National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	PRJNA605254	SAMN14078801	2201	1974	152.0	assembly from type material	Neisseria meningitidis	98.76	0.15	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria		
GCF_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	OK		GCF_000014805.1-RS_2024_12_11	4744448	1.0	Complete Genome	2006-11-06		4744448	4744448.0	1.0		TIGR	PRJNA16697	SAMN02604052	4356	4166	28.0	assembly from type material	Aeromonas hydrophila	99.05	0.93	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	
GCF_016027375.1	ASM1602737v1	Clostridium perfringens	1502	OK		GCF_016027375.1-RS_2024_10_16	3355233	2.0	Complete Genome	2020-12-14		3300922	3300922.0	2.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN13450433	3062	2908	26.0	assembly from type material	Clostridium perfringens	96.42	3.85	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium		
GCF_000007125.1	ASM712v1	Brucella melitensis bv. 1 str. 16M	224914	OK		GCF_000007125.1-RS_2024_03_28	3294931	2.0	Complete Genome	2001-12-28		2117144	2117144.0	2.0		Integrated Genomics	PRJNA180	SAMN02603416	3237	2943	227.0	assembly from type material	Brucella melitensis	97.21	0.58	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella melitensis	
GCF_030297255.1	ASM3029725v1	Burkholderia pseudomallei	28450	OK		GCF_030297255.1-RS_2024_06_21	7081111	2.0	Complete Genome	2023-05-16		3937683	3937683.0	2.0	Illumina NovaSeq; Nanopore MiNION	Department of Molecular Bacteriology, Research Institute for Microbial Diseases, Osaka University	PRJDB15627	SAMD00592127	6291	6077	138.0	assembly from type material	Burkholderia pseudomallei	98.74	0.92	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		
GCF_022811565.1	ASM2281156v1	Paenibacillus polymyxa ATCC 842	1036171	OK		GCF_022811565.1-RS_2024_04_21	5967522	2.0	Complete Genome	2022-04-04		5921998	5921998.0	2.0	PacBio	Zhejiang university of technology	PRJNA416965	SAMN07972645	5442	5245	60.0	assembly from type material	Paenibacillus	99.5	0.58	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa	
GCF_001941585.1	ASM194158v1	Legionella pneumophila	446	OK		GCF_001941585.1-RS_2025_03_05	3409143	1.0	Complete Genome	2017-01-10		3409143	3409143.0	1.0	PacBio	Public Health Agency of Canada	PRJNA292755	SAMN03988484	3058	2980	21.0	assembly from type material	Legionella pneumophila	99.4	0.4	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		
GCF_900475625.1	45709_F01	Levilactobacillus brevis	1580	OK		GCF_900475625.1-RS_2024_04_07	2494328	1.0	Complete Genome	2018-06-17		2494328	2494328.0	1.0		SC	PRJEB6403	SAMEA3919799	2468	2368	14.0	assembly from type material	Lactobacillus brevis	98.13	5.03	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus		
GCF_000011325.1	ASM1132v1	Corynebacterium glutamicum ATCC 13032	196627	OK		GCF_000011325.1-RS_2024_12_11	3309401	1.0	Complete Genome	2004-02-18		3309401	3309401.0	1.0		Kitasato Univ.	PRJNA307	SAMD00061105	3079	2948	51.0	assembly from type material	Corynebacterium glutamicum	98.5	0.02	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	
GCF_020736045.1	ASM2073604v1	Haemophilus influenzae	727	OK		GCF_020736045.1-RS_2024_12_09	1890662	1.0	Complete Genome	2021-11-03		1890662	1890662.0	1.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN22091657	1889	1756	51.0	assembly from type material	Haemophilus influenzae	99.17	0.02	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus		
GCF_000069185.1	ASM6918v1	Mycobacteroides abscessus ATCC 19977	561007	OK		GCF_000069185.1-RS_2025_03_09	5090491	2.0	Complete Genome	2008-03-01		5067172	5067172.0	2.0		Genoscope	PRJNA15691	SAMEA3138276	5048	4960	35.0	assembly from type material	Mycobacterium abscessus	99.21	0.93	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides abscessus	
GCF_019048385.1	ASM1904838v1	Pantoea agglomerans	549	OK		GCF_019048385.1-RS_2024_04_28	4692018	3.0	Complete Genome	2021-06-28		3999686	3999686.0	3.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357589	4361	4204	43.0	assembly from type material	Pantoea	98.33	0.28	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea		
GCF_019048125.1	ASM1904812v1	Klebsiella aerogenes	548	OK		GCF_019048125.1-RS_2024_03_29	5281764	1.0	Complete Genome	2021-06-28		5281764	5281764.0	1.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357584	5018	4811	85.0	assembly from type material	Enterobacter aerogenes	98.08	0.51	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella		
GCF_000832905.1	ASM83290v1	Heyndrickxia coagulans DSM 1 = ATCC 7050	1121088	OK		GCF_000832905.1-RS_2025_02_09	3366995	1.0	Complete Genome	2015-02-05		3366995	3366995.0	1.0	Illumina; PacBio; 454	Los Alamos National Laboratory	PRJNA238056	SAMN03120846	3356	3084	151.0	assembly from type material	Bacillus coagulans	97.62	0.6	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia coagulans	
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061	OK		GCF_002224265.1-RS_2025_03_05	5007160	2.0	Complete Genome	2017-07-24		3266118	3266118.0	2.0	PacBio; Illumina	Center for Genomics and Bioinformatics	PRJNA295776	SAMN04097182	4426	4212	62.0	assembly from type material	Vibrio vulnificus	98.22	1.08	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	
GCF_006094455.1	ASM609445v1	Morganella morganii subsp. morganii	180434	OK		GCF_006094455.1-RS_2024_03_31	3889903	1.0	Complete Genome	2019-06-06		3889903	3889903.0	1.0	Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA513394	SAMN10712293	3726	3574	45.0	assembly from type material	Morganella	90.19	4.06	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	
GCF_001888925.1	ASM188892v1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	1217420	OK		GCF_001888925.1-RS_2025_03_05	1891796	1.0	Complete Genome	2016-12-05		1891796	1891796.0	1.0	PacBio	Korea University	PRJNA355248	SAMN06066887	1948	1688	100.0	assembly from type material	Lactobacillus delbrueckii	98.93	1.51	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	
GCF_000025985.1	ASM2598v1	Bacteroides fragilis NCTC 9343	272559	OK		GCF_000025985.1-RS_2024_12_09	5241700	2.0	Complete Genome	2005-03-03		5205140	5205140.0	2.0		Sanger Institute	PRJNA46	SAMEA1705957	4323	4159	70.0	assembly from type material	Bacteroides fragilis	99.0	0.11	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	
GCF_000022965.1	ASM2296v1	Bifidobacterium animalis subsp. lactis DSM 10140	555970	Inconclusive		GCF_000022965.1-RS_2024_12_11	1938483	1.0	Complete Genome	2009-06-19		1938483	1938483.0	1.0		Danisco USA Inc.	PRJNA32893	SAMN02603171	1622	1536	20.0	assembly from type material	Bifidobacterium animalis	98.97	0.27	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	
GCF_000014445.1	ASM1444v1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120	OK		GCF_000014445.1-RS_2024_04_11	2075763	2.0	Complete Genome	2006-10-13		2038396	2038396.0	2.0		US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.	PRJNA315	SAMN02598482	2098	1990	23.0	assembly from type material	Leuconostoc mesenteroides	98.54	0.19	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides	
GCF_000010505.1	ASM1050v1	Porphyromonas gingivalis ATCC 33277	431947	OK		GCF_000010505.1-RS_2024_12_09	2354886	1.0	Complete Genome	2008-05-20		2354886	2354886.0	1.0		Kitasato University	PRJDA19051	SAMD00060922	2097	1943	87.0	assembly from type material	Porphyromonas gingivalis	98.0	0.55	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	
GCF_016026635.1	ASM1602663v1	Staphylococcus pseudintermedius	283734	OK		GCF_016026635.1-RS_2024_04_06	2562839	1.0	Complete Genome	2020-12-14		2562839	2562839.0	1.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN13450460	2401	2280	39.0	assembly from type material	Staphylococcus pseudintermedius	98.34	1.78	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus		
GCF_006094395.1	ASM609439v1	Staphylococcus haemolyticus	1283	OK		GCF_006094395.1-RS_2024_05_17	2572027	3.0	Complete Genome	2019-06-06		2517618	2517618.0	3.0	Oxford Nanopore GridION; Illumina HiSeq	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA515391	SAMN10754498	2508	2362	61.0	assembly from type material	Staphylococcus	98.84		Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus		
GCF_002950395.1	ASM295039v1	Shigella sonnei	624	OK		GCF_002950395.1-RS_2024_04_16	4994001	2.0	Complete Genome	2018-02-23		4975028	4975028.0	2.0	PacBio	CDC	PRJNA218110	SAMN08330284	5093	4338	625.0	assembly from type material	Shigella sonnei	95.02	1.29	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella		
GCF_014131795.1	ASM1413179v1	Clostridium butyricum	1492	OK		GCF_014131795.1-RS_2024_04_15	4705596	4.0	Complete Genome	2020-08-10		3921278	3921278.0	4.0	PacBio; Illumina MiSeq; Oxford Nanopore	Helmholtz Centre for Environmental Research - UFZ	PRJNA544389	SAMN11835364	4338	4179	32.0	assembly from type material	Clostridium butyricum	96.93	2.76	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium		
GCF_034298135.1	ASM3429813v1	Lactobacillus acidophilus	1579	OK		GCF_034298135.1-RS_2024_12_09	1978847	1.0	Complete Genome	2023-12-12		1978847	1978847.0	1.0	PacBio RSII	Los Alamos National Laboratory	PRJNA1047083	SAMN38517762	1917	1763	79.0	assembly from type material	Lactobacillus acidophilus	95.66	0.26	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		
GCF_036689615.1	ASM3668961v1	Pseudomonas chlororaphis subsp. chlororaphis	333	OK		GCF_036689615.1-RS_2024_04_05	6808083	1.0	Complete Genome	2024-04-05		6808083	6808083.0	1.0	Illumina MiSeq; Oxford Nanopore MinION	Biologia sintetica, CCG, UNAM	PRJNA1074776	SAMN39889236	6206	6059	60.0	assembly from type material	Pseudomonas chlororaphis	96.42	2.0	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas chlororaphis	
GCF_014131755.1	ASM1413175v1	Bacteroides thetaiotaomicron	818	OK		GCF_014131755.1-RS_2024_10_23	6304193	2.0	Complete Genome	2020-08-10		6271157	6271157.0	2.0	PacBio; Illumina MiSeq	Helmholtz Centre for Environmental Research - UFZ	PRJNA543750	SAMN11776005	4890	4718	85.0	assembly from type material	Bacteroides thetaiotaomicron	98.37	0.41	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		
GCF_028891345.1	ASM2889134v1	Xylella fastidiosa	2371	OK		GCF_028891345.1-RS_2024_05_06	2600197	2.0	Complete Genome	2023-03-01		2558445	2558445.0	2.0	Illumina NovaSeq; Oxford Nanopore MinION	Agriculture Victoria	PRJNA930964	SAMN33344476	2366	2240	67.0	assembly from type material	Xylella fastidiosa	96.81	0.05	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xylella		
GCF_001025175.1	ASM102517v1	Bifidobacterium breve DSM 20213 = JCM 1192	518634	OK		GCF_001025175.1-RS_2024_12_11	2269415	1.0	Complete Genome	2015-03-24		2269415	2269415.0	1.0	3730xl	Graduate School of Frontier Sciences, University of Tokyo	PRJDB57	SAMD00061041	2015	1876	77.0	assembly from type material	Bifidobacterium breve	98.48	0.27	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	
GCF_006739385.1	ASM673938v1	Cutibacterium acnes subsp. acnes	1734925	OK		GCF_006739385.1-RS_2024_04_15	2494738	1.0	Complete Genome	2019-06-11		2494738	2494738.0	1.0	Illumina MiSeq; ONT GridION	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	PRJDB8042	SAMD00169823	2437	2319	60.0	assembly from type material	Propionibacterium acnes	97.3	0.62	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	
GCF_900636985.1	45889_C01	Klebsiella oxytoca	571	OK		GCF_900636985.1-RS_2024_11_26	5857964	1.0	Complete Genome	2018-12-20		5857964	5857964.0	1.0		SC	PRJEB6403	SAMEA3923594	5475	5281	78.0	assembly from type material	Klebsiella oxytoca	99.36	0.9	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella		
GCF_900475555.1	44257_B01	Micrococcus luteus NCTC 2665	465515	OK		GCF_900475555.1-RS_2024_12_11	2495693	1.0	Complete Genome	2018-06-17		2495693	2495693.0	1.0		SC	PRJEB6403	SAMEA3867442	2341	2227	57.0	assembly from type material	Micrococcaceae	98.7	0.23	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	
GCF_016026695.1	ASM1602669v1	Lactococcus garvieae	1363	OK		GCF_016026695.1-RS_2024_12_13	2084337	2.0	Complete Genome	2020-12-14		2049769	2049769.0	2.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN13450459	2111	1983	49.0	assembly from type material	Lactococcus garvieae	93.95	10.08	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		
GCF_019048105.1	ASM1904810v1	Providencia rettgeri	587	OK		GCF_019048105.1-RS_2024_03_11	4641942	3.0	Complete Genome	2021-06-28		4492589	4492589.0	3.0	Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357592	4322	4141	75.0	assembly from type material	Providencia	95.77	4.91	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia		
GCF_001729805.1	ASM172980v1	Enterobacter roggenkampii	1812935	OK		GCF_001729805.1-RS_2025_03_05	4899997	2.0	Complete Genome	2016-09-16		4748414	4748414.0	2.0	PacBio	JCVI	PRJNA259658	SAMN05581750	4661	4458	89.0	assembly from type material	Enterobacter	99.46	0.08	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter		
GCF_000253175.1	ASM25317v1	Yersinia enterocolitica subsp. palearctica Y11	930944	OK		GCF_000253175.1-RS_2024_12_11	4625880	2.0	Complete Genome	2011-01-20		4553420	4553420.0	2.0		Max von Pettenkofer-Institute	PRJEA60483	SAMEA2271938	4238	3903	235.0	assembly from type material	Yersinia enterocolitica	98.4	0.58	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	
GCF_000014425.1	ASM1442v1	Lactobacillus gasseri ATCC 33323 = JCM 1131	324831	OK		GCF_000014425.1-RS_2024_03_27	1894360	1.0	Complete Genome	2006-10-13		1894360	1894360.0	1.0		US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.	PRJNA84	SAMN02598542	1883	1742	45.0	assembly from type material	Lactobacillus gasseri	99.5	0.27	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	
GCF_900560965.1	PPRCHA0	Pseudomonas protegens CHA0	1124983	OK		GCF_900560965.1-RS_2024_12_13	6868303	1.0	Complete Genome	2019-03-14		6868303	6868303.0	1.0		JLU	PRJEB28440	SAMEA4895849	6303	6149	65.0	assembly from type material	Pseudomonas	99.28	0.72	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	
GCF_900476005.1	51438_H01	Aeromonas caviae	648	OK		GCF_900476005.1-RS_2024_12_11	4586140	1.0	Complete Genome	2018-06-17		4586140	4586140.0	1.0		SC	PRJEB6403	SAMEA4475690	4254	4057	38.0	assembly from type material	Aeromonas	99.68	0.88	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas		
